[2026-05-24 20:24:46,627] 15 root - INFO - Inititate the data ingestion
[2026-05-24 20:24:50,693] 65 root - INFO - Performed train test split on dataframe
[2026-05-24 20:24:50,694] 70 root - INFO - Exporting train and test file path
[2026-05-24 20:24:50,831] 78 root - INFO - Exported train and test file path
[2026-05-24 20:24:50,832] 79 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2026-05-24 20:24:50,850] 18 root - INFO - Data Ingestion Completed
[2026-05-24 20:24:50,852] 22 root - INFO - Inititate the data validation
[2026-05-24 20:24:50,977] 34 root - INFO - Required number of columns:3
[2026-05-24 20:24:50,978] 35 root - INFO - Data frame has columns:4
[2026-05-24 20:24:50,978] 34 root - INFO - Required number of columns:3
[2026-05-24 20:24:50,978] 35 root - INFO - Data frame has columns:4
[2026-05-24 20:24:51,628] 24 root - INFO - Data Validation Completed
