[2026-05-24 20:36:46,502] 15 root - INFO - Inititate the data ingestion
[2026-05-24 20:36:51,054] 74 root - INFO - Performed train test split on dataframe
[2026-05-24 20:36:51,054] 79 root - INFO - Exporting train and test file path
[2026-05-24 20:36:51,279] 87 root - INFO - Exported train and test file path
[2026-05-24 20:36:51,279] 88 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2026-05-24 20:36:51,296] 18 root - INFO - Data Ingestion Completed
[2026-05-24 20:36:51,298] 22 root - INFO - Inititate the data validation
[2026-05-24 20:36:51,427] 34 root - INFO - Required number of columns:5
[2026-05-24 20:36:51,429] 35 root - INFO - Data frame has columns:5
[2026-05-24 20:36:51,429] 34 root - INFO - Required number of columns:5
[2026-05-24 20:36:51,429] 35 root - INFO - Data frame has columns:5
