[2026-05-24 20:46:46,320] 15 root - INFO - Inititate the data ingestion
[2026-05-24 20:46:52,686] 74 root - INFO - Performed train test split on dataframe
[2026-05-24 20:46:52,688] 79 root - INFO - Exporting train and test file path
[2026-05-24 20:46:53,191] 87 root - INFO - Exported train and test file path
[2026-05-24 20:46:53,192] 88 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2026-05-24 20:46:53,227] 18 root - INFO - Data Ingestion Completed
[2026-05-24 20:46:53,232] 22 root - INFO - Inititate the data validation
[2026-05-24 20:46:53,457] 34 root - INFO - Required number of columns:5
[2026-05-24 20:46:53,458] 35 root - INFO - Data frame has columns:5
[2026-05-24 20:46:53,459] 34 root - INFO - Required number of columns:5
[2026-05-24 20:46:53,459] 35 root - INFO - Data frame has columns:5
[2026-05-24 20:46:53,914] 24 root - INFO - Data Validation Completed
