[2026-05-24 20:41:17,431] 15 root - INFO - Inititate the data ingestion
[2026-05-24 20:41:22,030] 74 root - INFO - Performed train test split on dataframe
[2026-05-24 20:41:22,033] 79 root - INFO - Exporting train and test file path
[2026-05-24 20:41:22,321] 87 root - INFO - Exported train and test file path
[2026-05-24 20:41:22,321] 88 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2026-05-24 20:41:22,335] 18 root - INFO - Data Ingestion Completed
[2026-05-24 20:41:22,339] 22 root - INFO - Inititate the data validation
[2026-05-24 20:41:22,523] 34 root - INFO - Required number of columns:5
[2026-05-24 20:41:22,524] 35 root - INFO - Data frame has columns:5
[2026-05-24 20:41:22,524] 34 root - INFO - Required number of columns:5
[2026-05-24 20:41:22,524] 35 root - INFO - Data frame has columns:5
[2026-05-24 20:41:22,772] 24 root - INFO - Data Validation Completed
