[2026-05-24 20:31:52,629] 15 root - INFO - Inititate the data ingestion
[2026-05-24 20:31:56,702] 65 root - INFO - Performed train test split on dataframe
[2026-05-24 20:31:56,703] 70 root - INFO - Exporting train and test file path
[2026-05-24 20:31:56,874] 78 root - INFO - Exported train and test file path
[2026-05-24 20:31:56,874] 79 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2026-05-24 20:31:56,892] 18 root - INFO - Data Ingestion Completed
[2026-05-24 20:31:56,894] 22 root - INFO - Inititate the data validation
[2026-05-24 20:31:57,075] 34 root - INFO - Required number of columns:5
[2026-05-24 20:31:57,076] 35 root - INFO - Data frame has columns:4
[2026-05-24 20:31:57,076] 34 root - INFO - Required number of columns:5
[2026-05-24 20:31:57,076] 35 root - INFO - Data frame has columns:4
[2026-05-24 20:31:57,940] 24 root - INFO - Data Validation Completed
