[2026-05-24 20:19:29,967] 15 root - INFO - Inititate the data ingestion
[2026-05-24 20:19:33,789] 65 root - INFO - Performed train test split on dataframe
[2026-05-24 20:19:33,790] 70 root - INFO - Exporting train and test file path
[2026-05-24 20:19:33,950] 78 root - INFO - Exported train and test file path
[2026-05-24 20:19:33,950] 79 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2026-05-24 20:19:33,964] 18 root - INFO - Data Ingestion Completed
[2026-05-24 20:19:33,977] 22 root - INFO - Inititate the data validation
[2026-05-24 20:19:34,079] 34 root - INFO - Required number of columns:3
[2026-05-24 20:19:34,079] 35 root - INFO - Data frame has columns:4
