[2026-05-24 20:38:37,160] 15 root - INFO - Inititate the data ingestion
[2026-05-24 20:38:39,525] 74 root - INFO - Performed train test split on dataframe
[2026-05-24 20:38:39,526] 79 root - INFO - Exporting train and test file path
[2026-05-24 20:38:39,744] 87 root - INFO - Exported train and test file path
[2026-05-24 20:38:39,745] 88 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2026-05-24 20:38:39,765] 18 root - INFO - Data Ingestion Completed
[2026-05-24 20:38:39,823] 22 root - INFO - Inititate the data validation
[2026-05-24 20:38:40,070] 34 root - INFO - Required number of columns:5
[2026-05-24 20:38:40,072] 35 root - INFO - Data frame has columns:5
[2026-05-24 20:38:40,072] 34 root - INFO - Required number of columns:5
[2026-05-24 20:38:40,072] 35 root - INFO - Data frame has columns:5
[2026-05-24 20:38:40,314] 24 root - INFO - Data Validation Completed
