[2026-05-24 20:34:50,180] 15 root - INFO - Inititate the data ingestion
[2026-05-24 20:34:54,860] 74 root - INFO - Performed train test split on dataframe
[2026-05-24 20:34:54,861] 79 root - INFO - Exporting train and test file path
[2026-05-24 20:34:55,172] 87 root - INFO - Exported train and test file path
[2026-05-24 20:34:55,172] 88 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2026-05-24 20:34:55,200] 18 root - INFO - Data Ingestion Completed
[2026-05-24 20:34:55,205] 22 root - INFO - Inititate the data validation
[2026-05-24 20:34:55,403] 34 root - INFO - Required number of columns:5
[2026-05-24 20:34:55,404] 35 root - INFO - Data frame has columns:5
[2026-05-24 20:34:55,404] 34 root - INFO - Required number of columns:5
[2026-05-24 20:34:55,404] 35 root - INFO - Data frame has columns:5
[2026-05-24 20:34:56,197] 24 root - INFO - Data Validation Completed
