[2026-05-24 20:27:57,097] 15 root - INFO - Inititate the data ingestion
[2026-05-24 20:28:01,069] 65 root - INFO - Performed train test split on dataframe
[2026-05-24 20:28:01,070] 70 root - INFO - Exporting train and test file path
[2026-05-24 20:28:01,259] 78 root - INFO - Exported train and test file path
[2026-05-24 20:28:01,259] 79 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2026-05-24 20:28:01,289] 18 root - INFO - Data Ingestion Completed
[2026-05-24 20:28:01,296] 22 root - INFO - Inititate the data validation
[2026-05-24 20:28:01,456] 34 root - INFO - Required number of columns:3
[2026-05-24 20:28:01,457] 35 root - INFO - Data frame has columns:4
[2026-05-24 20:28:01,457] 34 root - INFO - Required number of columns:3
[2026-05-24 20:28:01,457] 35 root - INFO - Data frame has columns:4
[2026-05-24 20:28:02,154] 24 root - INFO - Data Validation Completed
